PRONO,PRONAME
1, 北京十月文艺出版社 
2, 安徽文艺出版社 
3, 百花文艺出版社 
4, 北京出版社 
5, 北京大学出版社 
6, 北京联合出版公司 
7, 北岳文艺出版社 
8, 春风文艺出版社 
9, 当代世界出版社 
10, 电子工业出版社 
11, 广西美术出版社 
12, 广西师范大学出版社 
13,花城出版社 
14, 哈尔滨出版社 
15, 海天出版社 
16, 湖南科技出版社 
17, 湖南科学技术出版社 
18, 湖南文艺出版社 
19, 花城出版社 
20, 华东师范大学出版社 
21, 机械工业出版社 
22, 江苏凤凰文艺出版社 
23, 江苏少年儿童出版社 
24, 江苏文艺出版社 
25, 解放军文艺出版社 
26, 科学出版社 
27, 漓江出版社 
28, 辽宁教育出版社 
29, 浙江文艺出版社 
30, 南海出版公司 
31, 人民文学出版社 
32, 人民邮电出版社 
33, 生活·读书·新知三联书店 
34, 山东人民出版社 
35, 陕西人民出版社 
36, 商务印书馆 
37, 商務印書館 
38, 上海古籍出版社 
39, 上海锦绣文章出版社 
40, 上海人民出版社 
41, 上海三联书店 
42, 上海社会科学院出版社 
43, 上海世纪出版集团 
44, 上海文艺出版社 
45, 上海译文出版社 
46, 生活.读书.新知三联书店 
47, 生活·读书·新知三联书店
48, 时代文艺出版社 
49, 世界图书出版公司 
50, 四川科学技术出版社 
51, 四川文艺出版社 
52, 天津人民出版社 
53, 万卷出版公司 
54, 文汇出版社 
55, 新世界出版社 
56, 新星出版社 
57, 译林出版社 
58, 云南人民出版社 
59, 长江文艺出版社 
60, 浙江人民出版社 
61, 中国城市出版社 
62, 中国法制出版社 
63, 中国海关出版社 
64, 中国青年出版社 
65, 中国人民大学出版社 
66, 中国少年儿童出版社 
67, 中国社会科学出版社 
68, 中国友谊出版公司 
69, 中华书局 
70, 中信出版社 
71, 重庆出版社 
72, 珠海出版社 
73, 作家出版社 
74,少年儿童出版社 
75,铁葫芦图书 
76,中国基督教协会 
77,中华书局 
